Date,Open,High,Low,Close,Adj Close,Volume
2010-02-02,60704.000000,61376.000000,58880.000000,59296.000000,58132.726563,20283
2010-02-03,59904.000000,61536.000000,59104.000000,61120.000000,59920.941406,20412
2010-02-04,62560.000000,68480.000000,62400.000000,68320.000000,66979.687500,31458
2010-02-05,67072.000000,72352.000000,65920.000000,66144.000000,64846.378906,39649
2010-02-08,66112.000000,69920.000000,65696.000000,69792.000000,68422.820313,25180
2010-02-09,67296.000000,70656.000000,66560.000000,68064.000000,66728.703125,32558
2010-02-10,67904.000000,68992.000000,64608.000000,66560.000000,65254.218750,25079
2010-02-11,66400.000000,68160.000000,65120.000000,65856.000000,64564.031250,18618
2010-02-12,67808.000000,68992.000000,65664.000000,65760.000000,64469.914063,22549
2010-02-16,64064.000000,65120.000000,61088.000000,61216.000000,60015.062500,17497
2010-02-17,60032.000000,61440.000000,59808.000000,60480.000000,59293.496094,16060
2010-02-18,61440.000000,61472.000000,59040.000000,59648.000000,58477.820313,17595
2010-02-19,60608.000000,60640.000000,58240.000000,58816.000000,57662.140625,18012
2010-02-22,58208.000000,58496.000000,56000.000000,57120.000000,55999.414063,17689
2010-02-23,57600.000000,60288.000000,56448.000000,59680.000000,58509.195313,23326
2010-02-24,59616.000000,59616.000000,56736.000000,56928.000000,55811.179688,20483
2010-02-25,58880.000000,60000.000000,57280.000000,57312.000000,56187.648438,23940
2010-02-26,57376.000000,58176.000000,55872.000000,56480.000000,55371.972656,15896
2010-03-01,55936.000000,56608.000000,55488.000000,55936.000000,54838.644531,12861
2010-03-02,55552.000000,55616.000000,54016.000000,55168.000000,54085.710938,18038
2010-03-03,55104.000000,55712.000000,54016.000000,55360.000000,54273.941406,15359
2010-03-04,54944.000000,55232.000000,53792.000000,53984.000000,52924.937500,13879
2010-03-05,52960.000000,53312.000000,50464.000000,50688.000000,49693.601563,21270
2010-03-08,50464.000000,50624.000000,49760.000000,50112.000000,49128.898438,11518
2010-03-09,50880.000000,51232.000000,48672.000000,49728.000000,48752.429688,20429
2010-03-10,48768.000000,49056.000000,47296.000000,47936.000000,46995.585938,24618
2010-03-11,48352.000000,48480.000000,46784.000000,46848.000000,45928.933594,18880
2010-03-12,45760.000000,47744.000000,45600.000000,46880.000000,45960.304688,20637
2010-03-15,47968.000000,48704.000000,46912.000000,47168.000000,46242.656250,19810
2010-03-16,46528.000000,47040.000000,45312.000000,45376.000000,44485.812500,16775
2010-03-17,44768.000000,44832.000000,43264.000000,43872.000000,43011.316406,21077
2010-03-18,43936.000000,45088.000000,43840.000000,44384.000000,43513.269531,16541
2010-03-19,45344.000000,45760.000000,43904.000000,45344.000000,44454.437500,19087
2010-03-22,46560.000000,46688.000000,44480.000000,44576.000000,43701.503906,20566
